title_proximity_tfidf,description_proximity_tfidf,main_query_tfidf,query_jl_score,query_title_score,city_match,job_age_days,apply,search_date_pacific,u_id,mgoc_id
0.0,0.0,0.0,0.0048243147,0.0066280724,0.0,5.0,0,2018-01-21,5dc98b69-ee04-47b9-98d3-3b1326e54265,10141
11.874042,0.04363703,2.5270805,0.011935319,0.011208009,0.0,5.0,0,2018-01-21,5df9ebfe-819f-42d6-8347-e31146ada112,10093
11.874042,0.04363703,2.5270805,0.011935319,0.011208009,0.0,5.0,1,2018-01-21,5df9ebfe-819f-42d6-8347-e31146ada112,10093
0.0,0.0,3.6958091,0.013046411,0.033340346,0.0,5.0,0,2018-01-23,5e1c4a18-bb83-4a24-a9e1-2d43a6753739,10003
,,7.8689,0.008064516,0.00877193,0.0,7.0,0,2018-01-24,5e315b5a-4c0d-42c4-b0f2-c11435ee45fe,10139
0.0,0.19837657,0.0,0.02254546,0.014705882,1.0,16.0,0,2018-01-24,5f42afe6-e7d0-4822-b95e-57ae0682fa24,10148
,,9.308552,0.005782444,3.0200601e-06,,0.0,0,2018-01-24,5f4c930d-fb3c-4b90-b121-b0fdc3dce56d,10016
,,9.308552,0.005782444,3.0200601e-06,,0.0,0,2018-01-24,5f4c930d-fb3c-4b90-b121-b0fdc3dce56d,10016
11.992127,0.11823738,3.4628346,0.017336734,0.05084401,0.0,23.0,0,2018-01-25,5f562c30-b0ad-45ec-9427-145624e0f34b,10039
8.298727,0.0,0.0,0.01916031,0.018750183,1.0,0.0,0,2018-01-23,5f5991c5-253f-4d30-aad1-2abfe9d50de3,-1
,,0.0,0.016849436,0.02042667,1.0,1.0,0,2018-01-24,5f688d2c-ad17-4e04-a604-ef91d2a2c095,10058
,,7.153435,0.021483498,0.019258115,,20.0,0,2018-01-25,5f68e5e0-bf95-46b2-bae6-984bada8804d,10132
0.0,0.0,0.0,0.016623026,0.012112681,1.0,1.0,0,2018-01-26,5f6c9694-5c9f-431f-9d7d-a3d7422a6691,10103
0.0,0.0,1.0201997,0.01476726,0.023267066,1.0,1.0,0,2018-01-26,5f92a3b9-df59-4313-bec1-b2f566e4ff87,10132
,,0.0,0.017301964,0.057647057,1.0,0.0,0,2018-01-27,5fa96134-c451-4612-9c3b-e653686acf02,10047
0.0,0.0,1.3274363,0.010783897,0.0115954345,1.0,0.0,0,2018-01-24,5fb790c8-d03e-4733-80a0-3d6a56f8ee29,10146
,,0.38039023,0.028745601,0.03223805,,9.0,0,2018-01-25,5ff9e6ad-cdec-4f12-8cae-10f3492dccef,10132
0.0,0.0,0.4487402,1e-06,1e-06,,12.0,0,2018-01-23,5ffb7e69-54d7-44a5-a60b-d54c45b9e748,10083
0.0,0.0,0.0,1e-06,0.06693271,0.0,23.0,0,2018-01-27,60003a29-19ef-4ff6-b6a4-6c8f55722fd2,10048
0.0,0.0,0.0,1e-06,0.017310232,,1.0,0,2018-01-26,6036bb38-66f8-4571-8707-8d57a1b06a8e,10066
0.0,0.13530283,0.0,0.016671607,0.015791759,0.0,6.0,0,2018-01-23,603d7aea-f86d-4618-87b9-522cf8fc1394,10103
7.301506,0.0,2.2135944,0.014754422,0.018179236,0.0,4.0,0,2018-01-24,604dcdc7-9605-4dc8-88f0-b7367fe88884,10089
0.0,0.20707366,0.0,0.021349786,0.021491472,0.0,2.0,0,2018-01-21,606fc6c2-6b3c-4aaf-a7ec-77b52a438065,10060
,,0.0,0.017114304,0.017341366,0.0,12.0,0,2018-01-21,60a7f422-5c8f-49bc-b13f-2d2370681fac,10085
0.0,0.0,0.0,0.009496615,0.010626834,0.0,7.0,0,2018-01-25,60ab6ad4-40a3-4a5e-9fbf-0668286e74f0,10055
0.0,0.013998116,0.5902386,0.01678694,0.017374502,0.0,11.0,0,2018-01-24,60d2fd20-037e-40f7-8e87-e89624f6ae85,10013
,,0.0,0.017206132,0.019607844,1.0,18.0,0,2018-01-26,60d36727-7ed0-4887-8498-cf2577cdc205,10111
18.380564,0.031903267,3.9970388,0.053382065,0.061574478,1.0,23.0,0,2018-01-27,60e1c048-b1e0-4204-b34f-42e024f09d46,10103
,,0.0,0.016671384,0.02565565,1.0,4.0,0,2018-01-23,60e33831-a4dd-466e-9a7c-d0d796649730,10013
22.361841,0.05299464,4.800514,0.009381617,0.013607036,,10.0,0,2018-01-26,60e3ea3c-f0f9-449f-9697-7c0ac367eb53,10151
0.0,0.0,0.0,0.014738449,0.012876882,0.0,12.0,0,2018-01-21,60e4e5bc-e7ab-4304-bbd9-e8f545f7b4a2,10048
0.0,0.0,0.0,0.015590695,0.043449953,1.0,6.0,0,2018-01-23,6114b211-56ce-4e68-9858-abc6124d9b2e,10057
,,0.0,0.005421099,0.029235039,0.0,9.0,0,2018-01-26,6117c8ae-5962-411f-b5a8-fbff96319e47,10013
0.0,0.07288791,0.0,0.01572497,0.016354099,,1.0,0,2018-01-26,61384055-afa1-4cfe-8245-9dbd4a248321,10028
15.13137,0.03467966,4.8559732,0.009345794,0.14939632,1.0,5.0,0,2018-01-24,61821753-31a1-4020-9ad7-37668a54b522,10111
0.0,0.0,0.0,0.016645957,0.14296097,,21.0,0,2018-01-26,6186fba7-c16c-4c33-8306-431fe879cbea,10111
0.0,0.0,0.0,0.016645957,0.14296097,,21.0,0,2018-01-26,6186fba7-c16c-4c33-8306-431fe879cbea,10111
0.0,0.0,0.0,0.029310005,0.024361564,1.0,12.0,0,2018-01-22,618e1a8c-e80f-4324-b4c1-6aa4ada0feb6,10064
